Nom_Thermomètre,Date_Heure,Type_Mesure,Valeur
Chambre,2023-10-15 14:25:56,Température,18.0
Chambre,2023-10-16 14:25:56,Température,19.6
Chambre,2023-10-17 14:25:55,Température,15.6
Chambre,2023-10-17 14:25:54,Température,12.6
Chambre,2023-10-17 14:25:53,Température,11.6
Chambre,2023-10-17 14:25:57,Température,18.0
Chambre,2023-10-17 14:25:58,Température,19.0
Chambre,2023-10-17 14:25:59,Température,29.0
Chambre,2023-10-17 14:25:56,Température,18.0
Chambre,2023-10-17 14:25:39,Température,21.0
Chambre,2023-10-17 14:25:35,Température,29.0
Chambre,2023-10-17 14:25:34,Température,26.0
Chambre,2023-10-17 14:25:33,Température,22.0
Chambre,2023-10-17 14:25:32,Température,17.0
Chambre,2023-10-17 14:25:31,Température,17.0
Chambre,2023-10-17 14:25:29,Température,12.0
Chambre,2023-10-17 14:25:28,Température,11.0
Chambre,2023-10-17 14:25:27,Température,10.0
Chambre,2023-10-17 14:25:26,Température,9.0
Chambre,2023-10-17 14:25:25,Température,17.0
Chambre,2023-10-17 14:25:40,Température,19.0
Cuisine,2023-10-17 14:25:55,Température,22.0
Cuisine,2023-10-17 14:25:52,Température,13.0
Salon,2023-10-17 14:20:56,Température,21.0
Salon,2023-10-17 14:21:11,Température,22.0
Salon,2023-10-17 14:21:26,Température,20.0
Salon,2023-10-17 14:21:41,Température,20.0
Salon,2023-10-17 14:24:56,Température,28.0
Salon,2023-10-17 14:25:11,Température,21.0
Salon,2023-10-17 14:25:26,Température,28.0
Salon,2023-10-17 14:25:41,Température,20.0
Salon,2023-10-17 14:25:56,Température,22.0
Salle a manger,2023-10-17 14:25:57,Température,23.0
Salle a manger,2023-10-18 14:25:57,Température,21.0
Salle a manger,2023-10-18 14:25:58,Température,21.0
Salle a manger,2023-10-18 14:25:59,Température,21.0
Salle a manger,2023-10-18 14:25:55,Température,24.0




