Nom_Thermomètre, DateEtHeure, TemperatureAttendue, TemperatureMesuree
Chambre,2023-10-17 14:25:36,50.0,58.0
Chambre,2023-10-17 14:25:38,50.0,59.0
Chambre,2023-10-17 14:25:37,50.0,57.0
Chambre,2023-10-17 14:25:41,51.0,57.0
Cuisine,2023-10-17 14:25:53,50.0,55.9
Cuisine,2023-10-17 14:25:51,52.0,58.0
Salon,2023-10-18 14:25:56,50.5,59.0
Salle a manger,2023-10-18 14:25:56,51.5,58.0
Chambre,2023-10-18 14:26:20,51.0,59.0
Cuisine,2023-10-18 14:26:25,51.5,56.0
Salon,2023-10-17 14:25:54,51.0,57.0
Salon,2023-10-17 14:25:53,52.0,56.0
Salle a manger,2023-10-18 14:25:54,52.5,60.0
